"convid","cm","client","subject","open","accepted","updated","created"
1091,44,172,"New Convo 2016-07-27 at 21:51:03.865",FALSE,TRUE,"2016-08-24 14:51:00.221016+00","2016-07-27 21:52:50.220557+00"
847,19,119,"probation",FALSE,TRUE,"2016-07-19 21:59:38.707311+00","2016-07-11 16:11:13.904055+00"
848,28,49,"Phone",FALSE,TRUE,"2016-07-11 16:22:31.099971+00","2016-07-11 16:22:24.247431+00"
849,28,49,"New Convo 2016-07-11 at 16:21:33.975",FALSE,TRUE,"2016-07-11 16:23:17.15506+00","2016-07-11 16:22:59.298663+00"
851,28,49,"New Convo 2016-07-11 at 16:22:16.853",FALSE,TRUE,"2016-07-11 16:24:51.393194+00","2016-07-11 16:23:42.178114+00"
1193,21,77,"New Conversation on 07/29",FALSE,TRUE,"2016-08-03 14:52:32.327365+00","2016-07-29 18:18:49.585522+00"
852,28,49,"New Convo 2016-07-11 at 16:24:08.040",FALSE,TRUE,"2016-07-11 16:26:32.26585+00","2016-07-11 16:25:33.36673+00"
1022,22,557,"New Convo 2016-07-26 at 16:35:39.633",FALSE,TRUE,"2016-07-26 16:50:07.947439+00","2016-07-26 16:37:24.402098+00"
855,28,120,"New Convo 2016-07-11 at 17:29:26.176",FALSE,TRUE,"2016-07-11 19:40:31.468326+00","2016-07-11 17:30:51.561447+00"
1252,21,641,"New Conversation on 08/01",FALSE,TRUE,"2016-08-03 14:52:36.218177+00","2016-08-01 21:18:37.591237+00"
1089,63,322,"Email",FALSE,TRUE,"2016-07-27 22:21:39.448555+00","2016-07-27 21:07:43.147897+00"
1002,16,551,"call me",FALSE,TRUE,"2016-07-28 14:47:49.400285+00","2016-07-21 19:41:02.214934+00"
1109,43,585,"New Conversation on 07/28",TRUE,TRUE,"2016-07-28 15:23:02.790129+00","2016-07-28 15:23:02.790129+00"
1398,71,692,"Testing",FALSE,TRUE,"2016-08-08 14:13:44.698759+00","2016-08-08 14:13:44.698759+00"
1403,59,478,"Attempted Contact",TRUE,TRUE,"2016-08-15 18:25:10.144597+00","2016-08-08 14:43:29.393153+00"
1110,28,58,"Graduation Date and Time",FALSE,TRUE,"2016-07-28 15:54:25.627076+00","2016-07-28 15:54:20.705352+00"
1042,33,166,"Test conversation",FALSE,TRUE,"2016-07-26 19:51:37.690646+00","2016-07-26 19:51:29.510768+00"
1045,28,55,"New Convo 2016-07-26 at 20:33:01.729",FALSE,TRUE,"2016-07-26 20:35:45.702478+00","2016-07-26 20:34:46.711734+00"
1205,74,617,"New Conversation on 08/01",FALSE,TRUE,"2016-08-01 16:37:59.761677+00","2016-08-01 14:37:25.961294+00"
1112,59,586,"New Conversation on 07/28",TRUE,TRUE,"2016-07-28 16:22:36.896083+00","2016-07-28 16:22:36.896083+00"
1115,59,449,"Attempted Contact",TRUE,TRUE,"2016-07-28 17:09:17.330623+00","2016-07-28 17:09:17.330623+00"
1046,28,55,"New Convo 2016-07-26 at 20:34:12.409",FALSE,TRUE,"2016-07-26 20:41:21.973413+00","2016-07-26 20:35:57.39311+00"
1227,59,625,"New Conversation on 08/01",TRUE,TRUE,"2016-08-01 16:47:05.96542+00","2016-08-01 16:47:05.96542+00"
1113,67,424,"New Conversation on 07/28",TRUE,TRUE,"2016-08-01 17:16:27.211235+00","2016-07-28 16:26:38.371752+00"
1048,28,55,"New Convo 2016-07-26 at 20:42:10.597",FALSE,TRUE,"2016-07-26 20:49:29.64818+00","2016-07-26 20:43:55.588987+00"
1153,28,536,"Graduation",FALSE,TRUE,"2016-07-28 22:03:44.585033+00","2016-07-28 22:03:42.497845+00"
1154,28,532,"Graduation",FALSE,TRUE,"2016-07-28 22:04:05.88218+00","2016-07-28 22:04:03.571332+00"
1047,28,532,"New Convo 2016-07-26 at 20:39:03.850",FALSE,TRUE,"2016-07-26 21:03:21.60748+00","2016-07-26 20:40:48.838766+00"
1404,63,509,"Appointment Reminder",FALSE,TRUE,"2016-08-08 14:43:30.758087+00","2016-08-08 14:43:30.758087+00"
1156,28,100,"Graduation",FALSE,TRUE,"2016-07-28 22:04:40.126875+00","2016-07-28 22:04:38.31441+00"
1157,28,64,"Graduation",FALSE,TRUE,"2016-07-28 22:04:52.374651+00","2016-07-28 22:04:50.058325+00"
1158,28,57,"Graduation",FALSE,TRUE,"2016-07-28 22:05:08.119241+00","2016-07-28 22:05:06.178177+00"
1159,28,58,"Graduation",FALSE,TRUE,"2016-07-28 22:05:21.424429+00","2016-07-28 22:05:19.306913+00"
1160,28,52,"Graduation",FALSE,TRUE,"2016-07-28 22:05:41.0723+00","2016-07-28 22:05:31.346484+00"
1161,28,52,"Graduation",FALSE,TRUE,"2016-07-28 22:06:20.12591+00","2016-07-28 22:06:17.74461+00"
1044,33,166,"ddd",FALSE,TRUE,"2016-07-27 15:31:12.382414+00","2016-07-26 19:55:25.994696+00"
1061,33,166,"New Conversation on 07/27",FALSE,TRUE,"2016-07-27 15:36:21.521794+00","2016-07-27 15:31:35.644467+00"
1162,28,50,"Graduation",FALSE,TRUE,"2016-07-28 22:06:38.134989+00","2016-07-28 22:06:34.388561+00"
1378,71,676,"Testing",TRUE,TRUE,"2016-08-26 20:44:11.098622+00","2016-08-05 16:25:41.969522+00"
1051,22,557,"New Convo 2016-07-26 at 21:32:24.188",FALSE,TRUE,"2016-07-27 16:24:35.425654+00","2016-07-26 21:34:09.225743+00"
1050,28,532,"New Convo 2016-07-26 at 21:11:49.703",FALSE,TRUE,"2016-07-27 16:26:29.785085+00","2016-07-26 21:13:34.722228+00"
1075,22,573,"New Conversation on 07/27",FALSE,TRUE,"2016-07-27 17:17:09.302161+00","2016-07-27 17:12:58.16626+00"
